,Turn,s,R,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,vx_max
0,Right,1.127,27.808000000000003,,,,,,,15.982726405890789
1,Right,1.167,22.476,,,,,,,14.418552140468348
2,Right,1.189,34.58,,,,,,,17.74569480160556
3,Right,1.177,32.79,,,,,,,17.300075873395304
4,Right,1.169,20.679000000000002,,,,,,,13.846291637313675
5,Right,1.159,18.429000000000002,,,,,,,13.09047875863023
6,Right,1.13,21.311999999999998,,,,,,,14.050838326217063
7,Right,1.078,32.791,,,,,,,17.30032860412656
8,Left,1.015,75.551,,,,,,,25.56994773096015
9,Left,0.9590000000000001,13.65,,,,,,,11.301287213466964
10,Left,0.9540000000000001,10.35,,,,,,,9.862198328712882
11,Left,0.932,9.448,,,,,,,9.42826289888418
12,Left,0.9079999999999999,9.175,,,,,,,9.292722769463836
13,Left,0.888,9.415,,,,,,,9.411987796862725
14,Left,0.8809999999999999,9.738,,,,,,,9.57003629581421
15,Left,0.888,9.902999999999999,,,,,,,9.649723192593576
16,Left,0.899,10.5,,,,,,,9.932425151124287
17,Left,0.919,10.255999999999998,,,,,,,9.817919230806032
18,Left,0.955,10.892000000000001,,,,,,,10.113521013275632
19,Left,0.998,15.38,,,,,,,11.982503410656234
20,Left,1.0190000000000001,18.817,,,,,,,13.224219248678587
21,Left,1.0270000000000001,73.704,,,,,,,25.283801742767174
22,Right,1.056,24.410999999999998,,,,,,,15.007583722590917
23,Right,1.107,18.354,,,,,,,13.064453245760125
24,Right,1.128,16.69,,,,,,,12.471698449296959
25,Right,1.139,15.866,,,,,,,12.166482891115999
26,Right,1.145,17.349,,,,,,,12.71006528945413
27,Right,1.17,18.617,,,,,,,13.15546753606152
28,Right,1.198,20.467,,,,,,,13.77703123002599
29,Right,1.234,23.276,,,,,,,14.665307628146095
30,Right,1.268,24.836,,,,,,,15.133503484503551
31,Right,1.304,27.741,,,,,,,15.96414928436241
32,Right,1.3430000000000002,35.304,,,,,,,17.922222246622344
