Tekmovanje,Disciplina,Točke,Mesto,Zmagovalec točke,Število nastopajočih,Čas,Čas najboljši,Končno mesto,Podlaga
Italy 2018,BPP,50,13,75,19,/,/,11,/
Italy 2018,Cost,68.49,14,100,19,/,/,11,/
Italy 2018,Design,106,10,150,19,/,/,11,/
Italy 2018,Acceleration,0,10,100,19,0,3.379,11,/
Italy 2018,Skid pad,0,10,75,19,0,4.73,11,/
Italy 2018,Autocross,0,10,125,19,0,51.45,11,/
Italy 2018,Endurance,0,9,325,19,0,1392,11,/
East 2018,BPP,43.3,15,75,16,/,/,9,/
East 2018,Cost,12.5,15,97.5,16,/,/,9,/
East 2018,Design,64.5,12,150,16,/,/,9,/
East 2018,Acceleration,24.4,8,75,16,4.678,3.574,9,/
East 2018,Skid pad,32.8,6,75,16,5.35,4.75,9,/
East 2018,Autocross,21.6,7,100,16,65.33,54.61,9,/
East 2018,Endurance,0,6,325,16,0,1437,9,/
FSN 2019,BPP,48.8,15,75,21,/,/,6,/
FSN 2019,Cost,55.81,17,100,21,/,/,6,/
FSN 2019,Design,78,13,135,21,/,/,6,/
FSN 2019,Acceleration,39.55,3,75,21,/,/,6,/
FSN 2019,Skid pad,48.73,4,75,21,/,/,6,Mokro
FSN 2019,Autocross,83.29,3,100,21,/,/,6,/
FSN 2019,Endurance,0,6,325,21,/,/,6,/
East 2019,BPP,47.7,18,75,20,/,/,10,/
East 2019,Cost,77.4,14,100,20,/,/,10,/
East 2019,Design,90,15,150,20,/,/,10,/
East 2019,Acceleration,40.6,9,75,20,3.885,3.262,10,/
East 2019,Skid pad,49.4,6,75,20,4.97,4.64,10,Suho
East 2019,Autocross,28.6,10,100,20,71.18,60.54,10,/
East 2019,Endurance,0,7,325,20,0,1483,10,/
Italy 2019,BPP,49.86,15,75,26,/,/,2,/
Italy 2019,Cost,72.35,8,100,26,/,/,2,/
Italy 2019,Design,103.125,13,150,26,/,/,2,/
Italy 2019,Acceleration,83.94,4,100,26,3.872,3.655,2,/
Italy 2019,Skid pad,41.2,4,75,26,5.076,4.624,2,/
Italy 2019,Autocross,92.54,2,125,26,49.53,45.32,2,/
Italy 2019,Endurance,339.57,2,375,26,1400,1394,2,/
FSA 2019,BPP,54.9,9,75,24,/,/,9,/
FSA 2019,Cost,92,5,100,24,/,/,9,/
FSA 2019,Design,98.1,12,150,24,/,/,9,/
FSA 2019,Acceleration,42.3,7,75,24,4.212,3.57,9,/
FSA 2019,Skid pad,27.2,10,75,24,5.337,4.65,9,Mokro
FSA 2019,Autocross,4.5,9,100,24,73.4,53.6,9,/
FSA 2019,Endurance,0,8,325,24,0,1255,9,/
FSG 2019,BPP,37.14,35,75,39,/,/,8,/
FSG 2019,Cost,68,27,100,39,/,/,8,/
FSG 2019,Design,75,21,150,39,/,/,8,/
FSG 2019,Acceleration,31.73,15,75,39,4.343,3.467,8,/
FSG 2019,Skid pad,29.98,13,75,39,5.228,4.598,8,Suho
FSG 2019,Autocross,46.86,10,100,39,75.02,66.68,8,/
FSG 2019,Endurance,110.78,6,325,39,1608,1321,8,/
